,Experiment ,Sample_No,Name,Species ,Treatment,Sp_Tr,delta15N,delta13C,N,C,CN_ratio
new,Herbivory,1,H5-2_SN_653 ,SN,5,SN_H5,6.25,-26.83866667,2.229623437,44.79650596,20.09151196
new,Herbivory,6,H5-3_SN_717 ,SN,5,SN_H5,-0.096,-26.34666667,1.884367713,43.77760889,23.23198842
41,Herbivory,103,H2-3_VEX_278,VEX,2,VEX_H2,4.442027873,-28.9873976,2.111304965,44.02594638,20.85248086
56,Herbivory,104,H2-3_VEX_288,VEX,2,VEX_H2,1.914595152,-27.43202953,2.169188341,43.35998186,19.98903509
33,Herbivory,105,H2-3_VEX_253,VEX,2,VEX_H2,2.94401766,-27.80820386,1.844660967,44.5013248,24.12439228
48,Herbivory,133,H2-2_VEX_214,VEX,2,VEX_H2,2.71851702,-28.31048716,1.843356901,45.43996287,24.65065926
63,Herbivory,115,H3-3_VEX_394,VEX,3,VEX_H3,1.846750161,-28.11120639,2.304628839,47.81002833,20.74521828
42,Herbivory,123,H3-2_VEX_354,VEX,3,VEX_H3,2.195794069,-28.12926943,1.802970365,46.06843725,25.55141124
35,Herbivory,124,H3-2_VEX_376,VEX,3,VEX_H3,1.475007843,-28.77710704,2.502284805,48.02859588,19.19389663
59,Herbivory,125,H3-1_VEX_125,VEX,3,VEX_H3,2.068339561,-28.60065424,2.240263834,48.26476229,21.54423133
22,Herbivory,126,H3-3_VEX_412,VEX,3,VEX_H3,1.313341059,-28.97205656,2.328828799,46.18704268,19.83273425
19,Herbivory,101,H4-3_VEX_489,VEX,4,VEX_H4,3.347930403,-30.49828451,1.717382807,47.9498697,27.92031544
15,Herbivory,131,H4-2_VEX_523,VEX,4,VEX_H4,1.307999372,-28.09172203,2.167654252,38.49172324,17.75731678
52,Herbivory,132,H4-2_VEX_497,VEX,4,VEX_H4,2.60303469,-29.59809732,2.010609249,47.39504166,23.57247768
46,Herbivory,134,H4-1_VEX_435,VEX,4,VEX_H4,1.308155823,-28.45127964,2.642275298,47.09588336,17.82398806
38,Herbivory,117,H5-3_VEX_746,VEX,5,VEX_H5,0.996217039,-29.1782058,1.824411094,48.36642138,26.5107034
51,Herbivory,118,H5-3_VEX_680,VEX,5,VEX_H5,3.005139404,-28.76869177,1.854307758,41.40698951,22.33016032
1,Herbivory,119,H5-2_VEX_673,VEX,5,VEX_H5,2.879431835,-29.39478762,1.959954248,44.87006081,22.89342257
39,Herbivory,136,H5-3_VEX_762,VEX,5,VEX_H5,1.502727831,-28.40143845,2.126694553,46.64456889,21.93289527
54,Herbivory,111,H2-3_VS_269,VS,2,VS_H2,0.001718523,-27.68127763,2.617407202,45.6695398,17.4483893
5,Herbivory,113,H2-3_VS_250,VS,2,VS_H2,3.159685628,-29.1773207,1.776393388,44.19290053,24.87787943
18,Herbivory,114,H2-3_VS_173,VS,2,VS_H2,1.982513729,-26.45944444,2.81532947,45.77087273,16.25773226
32,Herbivory,106,H3-3_VS_398,VS,3,VS_H3,-0.061312627,-27.17640636,3.008948774,48.53482733,16.13016072
37,Herbivory,116,H3-2_VS_366,VS,3,VS_H3,1.716745661,-25.40320502,2.859569728,47.31137197,16.54492685
